release_date,budget,revenue_worldwide,runtime,genres,cast_popularity_mean,cast_popularity_max,director_popularity,original_language,imdb_rating,imdb_votes,mpaa_rating,domestic_box_office,rotten_tomatoes_score,metacritic_score,season
2018-11-16,23000000.0,321752656.0,130,"['Drama', 'Comedy', 'History']",3.807833333333333,5.485,1.2339,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2020-01-22,35000000.0,50866901.0,107,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",6.541033333333334,15.2731,1.4482,zh,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2014-10-26,35000000.0,83977925.5,90,"['Documentary', 'History']",0.06365000000000001,0.113,0.2581,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2002-10-01,35000000.0,83977925.5,84,"['Animation', 'Family']",1.487166666666666,2.1763,1.2298,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2007-05-11,24000000.0,9576495.0,97,"['Comedy', 'Drama', 'Romance']",4.092466666666667,4.8835,0.6349,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2019-08-08,18000000.0,33800000.0,109,"['Drama', 'Romance']",6.8533333333333335,11.024,0.4117,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2008-07-10,45000000.0,101702060.0,93,"['Action', 'Science Fiction', 'Adventure', 'Comedy', 'Family']",4.222933333333334,7.908,0.4727,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2023-11-03,15000000.0,113676322.0,124,"['Science Fiction', 'Horror', 'Action']",4.478266666666666,6.2191,2.1644,ja,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2009-02-17,9000000.0,83977925.5,93,"['Horror', 'Action', 'Thriller', 'Science Fiction']",1.8327666666666662,3.5441000000000003,0.2566,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2025-02-06,35000000.0,2.0,99,"['Comedy', 'Romance']",2.745366666666667,4.1463,0.46940000000000004,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2021-08-11,35000000.0,83977925.5,112,"['Romance', 'Comedy']",6.390466666666666,11.4248,0.4172,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2019-01-10,35000000.0,4695495.0,98,['Comedy'],0.558033333333333,1.0413000000000001,0.2172,it,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2025-05-23,30000000.0,40313783.0,102,"['Comedy', 'Adventure', 'Crime']",3.8690333333333333,6.2861,2.7651,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2017-08-25,31000000.0,7220490.0,103,"['Action', 'Drama']",1.6691,2.1871,0.7922,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
